2013-05-12 23:08:29,526 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:08:29,541 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2013-05-12 23:08:29,541 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:08:29,541 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-05-12 23:08:29,557 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:08:29,557 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2013-05-12 23:08:29,557 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:08:29,573 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-05-12 23:08:38,387 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:08:38,387 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 2 resources
2013-05-12 23:08:38,387 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:08:38,387 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-05-12 23:08:38,418 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:08:38,418 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2013-05-12 23:08:38,418 [Worker-18] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:08:38,418 [Worker-18] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-05-12 23:08:52,614 [Worker-15] INFO  o.e.m.i.launch.MavenLaunchDelegate - C:\public\workspace\fhbay-beans
2013-05-12 23:08:52,614 [Worker-15] INFO  o.e.m.i.launch.MavenLaunchDelegate -  mvn  -B -s D:\Users\Florian\.m2\settings.xml install jboss-as:deploy
2013-05-12 23:09:14,693 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:09:14,693 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 3 resources
2013-05-12 23:09:14,693 [Worker-19] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2013-05-12 23:09:14,693 [Worker-19] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2013-05-12 23:09:18,203 [Worker-21] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
